circuit_name,category,expected_normal,vae_predicted_normal,vae_confidence,vae_correct,vae_available,vae_message,llm_model,llm_predicted_normal,llm_confidence,llm_correct,llm_available,llm_analysis,vae_time,llm_time,total_time
2-Input AND,Combinational - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,gpt-4o,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.2832295894622803,0.21677041053771973
2-Input AND,Combinational - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,claude,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4241175651550293,0.0758824348449707
2-Input AND,Combinational - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,groq,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4485437870025635,0.05145621299743652
2-Input AND,Combinational - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,gemini,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4500923156738281,0.049907684326171875
2-Input OR,Combinational - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,gpt-4o,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4466772079467773,0.053322792053222656
2-Input OR,Combinational - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,claude,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4474270343780518,0.05257296562194824
2-Input OR,Combinational - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,groq,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4488801956176758,0.05111980438232422
2-Input OR,Combinational - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,gemini,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4503192901611328,0.04968070983886719
Stuck AND (always 0),Combinational - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,gpt-4o,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4478704929351807,0.052129507064819336
Stuck AND (always 0),Combinational - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,claude,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4527056217193604,0.04729437828063965
Stuck AND (always 0),Combinational - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,groq,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4514338970184326,0.04856610298156738
Stuck AND (always 0),Combinational - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,gemini,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.453946828842163,0.046053171157836914
Inverted AND (NAND),Combinational - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,gpt-4o,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.452758550643921,0.0472414493560791
Inverted AND (NAND),Combinational - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,claude,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4502670764923096,0.04973292350769043
Inverted AND (NAND),Combinational - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,groq,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.4514014720916748,0.048598527908325195
Inverted AND (NAND),Combinational - Buggy,False,False,1.0,True,True,ANOMALOUS: No waveform data generated,gemini,False,0.6,True,True,❌ No valid waveform data to analyze,1.5,-1.453141212463379,0.046858787536621094
4-bit Counter,Sequential - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,gpt-4o,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4557816982269287,0.04421830177307129
4-bit Counter,Sequential - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,claude,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4255189895629883,0.07448101043701172
4-bit Counter,Sequential - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,groq,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4502358436584473,0.049764156341552734
4-bit Counter,Sequential - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,gemini,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4541001319885254,0.04589986801147461
D Flip-Flop,Sequential - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,gpt-4o,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4526245594024658,0.04737544059753418
D Flip-Flop,Sequential - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,claude,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.4498465061187744,0.050153493881225586
D Flip-Flop,Sequential - Normal,True,False,1.0,False,True,ANOMALOUS: No waveform data generated,groq,False,0.6,False,True,❌ No valid waveform data to analyze,1.5,-1.454007863998413,0.045992136001586914
